,Report date,State,County,Facility,Facility type,Functionality,OPD,EPI,ANC,PNC,SBA,BEmONC,CEmONC,FP,PMTCT,ART,TB,BHI,Inpatient - Paeds,Inpatient - Adult,Basic surgery,MHPSS,SGBV,NCD,Nut. OTP,Nut. TSFP,Nut. SC,Laboratory,Disability,# Clinical staff,Essential meds stockout,FP stockout,Vaccine stockout,Ambulance access,# Inpatient beds - adult,# Inpatient beds - paeds,Electricity,Latrine,Dedicated mobile phone,EPI refrigerator,Protected water source
1041,16/04/2020,Western Bahr el Ghazal,Raga,Menamba,PHCU,Moderate,Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Not Available,1,No Stockout,No Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Available
1042,31/12/2020,Western Bahr el Ghazal,Raga,Menamba Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,1,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
1043,31/12/2020,Western Bahr el Ghazal,Raga,Raja Hospital,Hospital,Moderate,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,38,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
1044,31/12/2020,Western Bahr el Ghazal,Raga,Sopo Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,0,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
1045,31/12/2020,Western Bahr el Ghazal,Raga,Timsah Hospital,PHCC,Moderate,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,Recent Stockout,Not Available,2,1,Available,Available,,Not Available,Available
1046,14/08/2019,Upper Nile,Renk,Abayok,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Not Available,25,No Stockout,No Stockout,Recent Stockout,Not Available,20,14,Not Available,Available,Available,Available,Available
1047,31/12/2020,Upper Nile,Renk,Abukadhra Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Recent Stockout,Recent Stockout,No Stockout,Available,2,0,Not Available,Available,Available,Available,Available
1048,31/12/2020,Upper Nile,Renk,Alaka Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Recent Stockout,Recent Stockout,No Stockout,Available,1,0,Not Available,Available,Available,Available,Available
1049,31/12/2020,Upper Nile,Renk,Chemmedi Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,9,Recent Stockout,Recent Stockout,No Stockout,Available,1,0,Available,Available,Not Available,Available,Not Available
1050,01/01/2019,Upper Nile,Renk,Dugdug Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,31/12/2020,Upper Nile,Renk,Ecs Phcc,PHCU,Highly Functional,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,Recent Stockout,Recent Stockout,No Stockout,Available,2,1,Available,Available,Available,Available,Available
1052,31/12/2020,Upper Nile,Renk,Gerger Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,12,Recent Stockout,Recent Stockout,No Stockout,Available,2,0,Available,Available,Available,Available,Available
1053,01/01/2019,Upper Nile,Renk,Gusfami Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
