,Report date,State,County,Facility,Facility type,Functionality,OPD,EPI,ANC,PNC,SBA,BEmONC,CEmONC,FP,PMTCT,ART,TB,BHI,Inpatient - Paeds,Inpatient - Adult,Basic surgery,MHPSS,SGBV,NCD,Nut. OTP,Nut. TSFP,Nut. SC,Laboratory,Disability,# Clinical staff,Essential meds stockout,FP stockout,Vaccine stockout,Ambulance access,# Inpatient beds - adult,# Inpatient beds - paeds,Electricity,Latrine,Dedicated mobile phone,EPI refrigerator,Protected water source
1,31/12/2020,Unity,Abiemnon,Abiemnhom Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,9,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
2,31/12/2020,Unity,Abiemnon,Awarepiny Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
3,01/01/2019,Unity,Abiemnon,Magok Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31/12/2020,Unity,Abiemnon,Manajoga Phcc,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
5,31/12/2020,Unity,Abiemnon,Panyang Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
6,01/01/2019,Unity,Abiemnon,Pathiew Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30/06/2020,Warrap,Abyei,Agany Tok Phcu,PHCU,Moderate,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Recent Stockout,Recent Stockout,Recent Stockout,Available,0,0,Not Available,Not Available,Not Available,Not Available,Available
8,01/01/2019,Warrap,Abyei,Amenth Bek Hospital,Hospital,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,01/01/2019,Warrap,Abyei,Amiet Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01/01/2019,Warrap,Abyei,Athony Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30/06/2020,Warrap,Abyei,Awalnhom Mobile Clinic,PHCU,Moderate,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Recent Stockout,Recent Stockout,Recent Stockout,Available,0,0,Not Available,Not Available,Not Available,Not Available,Available
12,01/01/2019,Warrap,Abyei,Awalnhom Phcu,PHCU,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,01/01/2019,Warrap,Abyei,Dokra Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01/01/2019,Warrap,Abyei,Dongop Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,01/01/2019,Warrap,Abyei,Kolom Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01/01/2019,Warrap,Abyei,Mabok Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01/01/2019,Warrap,Abyei,Maker Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30/06/2020,Warrap,Abyei,Malual Aleiu Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,2,No Stockout,Recent Stockout,No Stockout,Available,0,0,Not Available,Not Available,Not Available,Available,Available
19,01/01/2019,Warrap,Abyei,Marial Achak Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30/06/2020,Warrap,Abyei,Mijak Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,3,Recent Stockout,Recent Stockout,No Stockout,Available,1,1,Available,Not Available,Not Available,Available,Available
21,01/01/2019,Warrap,Abyei,Miodol Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,01/01/2019,Warrap,Abyei,Miyom Ngok Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30/06/2020,Warrap,Abyei,Rumamer Phcc,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,2,Recent Stockout,Recent Stockout,No Stockout,Available,2,0,Available,Not Available,Not Available,Available,Available
24,01/01/2019,Warrap,Abyei,Tagale Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,01/01/2019,Warrap,Abyei,Todaj Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,01/01/2019,Warrap,Abyei,Wunpeth Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,31/12/2020,Jonglei,Akobo,Akobo Hospital,PHCC,Moderate,Available,,Available,,Available,Available,Available,Available,,Available,Available,,Available,Available,Available,Not Available,Available,,,,,,,,,,No Stockout,,,,,,,Available,
28,31/12/2020,Jonglei,Akobo,Buong Phcu,PHCU,Moderate,Available,,Available,,,,Not Available,Available,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Available,,,,,,,,,,No Stockout,,,,,,,Available,
29,31/12/2020,Jonglei,Akobo,Burmath Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,No Stockout,No Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Not Available
30,31/12/2020,Jonglei,Akobo,Diror Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Recent Stockout,No Stockout,Recent Stockout,Not Available,1,0,Not Available,Available,Not Available,Not Available,Not Available
31,31/12/2020,Jonglei,Akobo,Kaikueny Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Recent Stockout,No Stockout,Recent Stockout,Not Available,6,0,Not Available,Available,Not Available,Available,Not Available
32,31/12/2020,Jonglei,Akobo,Nukta Thoklial Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Available,Not Available,17,No Stockout,No Stockout,No Stockout,Not Available,0,0,Available,Available,Not Available,Available,Available
33,31/12/2020,Jonglei,Akobo,Tangnyang Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Recent Stockout,No Stockout,Recent Stockout,Not Available,1,0,Not Available,Available,Not Available,Not Available,Not Available
34,30/06/2020,Jonglei,Akobo,Thokliel Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Available,Not Available,17,Recent Stockout,Recent Stockout,Recent Stockout,Not Available,0,0,Available,Available,Not Available,Available,Available
35,31/12/2020,Jonglei,Akobo,Thokwath Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,6,No Stockout,No Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Not Available
36,30/06/2020,Jonglei,Akobo,Walgak Phcc,PHCC,Moderate,Available,Not Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,17,Recent Stockout,Recent Stockout,No Stockout,Not Available,10,4,Available,Available,Not Available,Available,Not Available
37,30/06/2020,Jonglei,Akobo,Yidit Phcu,PHCU,Moderate,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,No Stockout,Recent Stockout,Recent Stockout,Not Available,1,0,Not Available,Available,Not Available,Available,Not Available
38,17/10/2019,Northern Bahr el Ghazal,Aweil Centre,Akuangkar Phcu,PHCU,Limited,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,2,No Stockout,Recent Stockout,Recent Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Available
39,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Alok Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,3,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
40,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Aroyo Phcc,PHCC,Moderate,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Available,9,,No Stockout,No Stockout,Available,1,0,Not Available,Available,,Available,Available
41,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Awada Phcc,PHCU,Moderate,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,8,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Not Available
42,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Aweil Civil Hospital,Hospital,Moderate,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,89,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
43,17/10/2019,Northern Bahr el Ghazal,Aweil Centre,Awulic Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,7,No Stockout,Recent Stockout,No Stockout,Not Available,0,0,Not Available,Available,Available,Not Available,Available
44,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Bar Mayen Hospital,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Available,9,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
45,17/10/2019,Northern Bahr el Ghazal,Aweil Centre,Bau Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,4,No Stockout,Recent Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Available
46,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Gabat Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,10,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
47,17/10/2019,Northern Bahr el Ghazal,Aweil Centre,Jelwan Phcu,PHCU,Limited,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,3,No Stockout,Recent Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Available
48,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Kuom Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,3,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
49,31/12/2020,Northern Bahr el Ghazal,Aweil Centre,Mabok Akot Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,3,,No Stockout,No Stockout,Not Available,0,0,Not Available,Available,,Not Available,Available
50,17/10/2019,Northern Bahr el Ghazal,Aweil Centre,Nyalath Phcu,PHCU,Limited,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,5,No Stockout,Recent Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Available
51,31/12/2020,Northern Bahr el Ghazal,Aweil East,Adoor Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
52,31/12/2020,Northern Bahr el Ghazal,Aweil East,Akuem Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Not Available,Available,Available,10,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
53,31/12/2020,Northern Bahr el Ghazal,Aweil East,Ameth Akok Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
54,31/12/2020,Northern Bahr el Ghazal,Aweil East,Amethgolduang Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
55,30/06/2020,Northern Bahr el Ghazal,Aweil East,Angot,Mobile,Highly Functional,Available,Available,Available,Not Available,Available,Not Available,Not Available,,,,,Available,,,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,6,No Stockout,No Stockout,No Stockout,Not Available,0,0,Not Available,Available,Not Available,Not Available,Available
56,31/12/2020,Northern Bahr el Ghazal,Aweil East,Atuct Phcu,PHCU,Moderate,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
57,31/12/2020,Northern Bahr el Ghazal,Aweil East,Baach Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
58,31/12/2020,Northern Bahr el Ghazal,Aweil East,Bakou Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
59,31/12/2020,Northern Bahr el Ghazal,Aweil East,Cuomator Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
60,31/12/2020,Northern Bahr el Ghazal,Aweil East,Goldim Tb Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,5,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
61,31/12/2020,Northern Bahr el Ghazal,Aweil East,Lieth Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Not Available,Available,Available,6,,No Stockout,No Stockout,Available,2,1,Not Available,Available,,Available,Available
62,31/12/2020,Northern Bahr el Ghazal,Aweil East,Mabil Phcc,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
63,31/12/2020,Northern Bahr el Ghazal,Aweil East,Mabok Tong Phcu,PHCU,Moderate,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
64,31/12/2020,Northern Bahr el Ghazal,Aweil East,Madhol Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Available,Available,,Available,Available
65,31/12/2020,Northern Bahr el Ghazal,Aweil East,Majok Yith Thiou Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Available,Available,,Available,Available
66,31/12/2020,Northern Bahr el Ghazal,Aweil East,Malek Bol Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
67,31/12/2020,Northern Bahr el Ghazal,Aweil East,Malual-Kuel Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
68,31/12/2020,Northern Bahr el Ghazal,Aweil East,Malual Baai Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,11,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
69,31/12/2020,Northern Bahr el Ghazal,Aweil East,Malualkon Hospital,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,26,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
70,31/12/2020,Northern Bahr el Ghazal,Aweil East,Mangar Tong Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
71,31/12/2020,Northern Bahr el Ghazal,Aweil East,Mangok Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
72,31/12/2020,Northern Bahr el Ghazal,Aweil East,Manyiel Phcu,PHCU,Moderate,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
73,31/12/2020,Northern Bahr el Ghazal,Aweil East,Omdurman Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Not Available,Available,Available,6,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
74,31/12/2020,Northern Bahr el Ghazal,Aweil East,Peth Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
75,31/12/2020,Northern Bahr el Ghazal,Aweil East,Rial Diit Phcc,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
76,31/12/2020,Northern Bahr el Ghazal,Aweil East,Rum Aker Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Not Available,0,0,Not Available,Available,,Available,Available
77,31/12/2020,Northern Bahr el Ghazal,Aweil East,Rumrol Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
78,31/12/2020,Northern Bahr el Ghazal,Aweil East,Rumwel Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
79,31/12/2020,Northern Bahr el Ghazal,Aweil East,Rumwet Kor Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
80,31/12/2020,Northern Bahr el Ghazal,Aweil East,Tit Chok Phcc,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
81,31/12/2020,Northern Bahr el Ghazal,Aweil East,Warawar Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
82,31/12/2020,Northern Bahr el Ghazal,Aweil East,Warlang Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Not Available,0,0,Not Available,Not Available,,Not Available,Not Available
83,31/07/2019,Northern Bahr el Ghazal,Aweil East,Warlanggram Phcu,PHCU,Moderate,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Recent Stockout,Recent Stockout,No Stockout,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Available
84,31/12/2020,Northern Bahr el Ghazal,Aweil East,Wonyjok Hospital,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,7,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
85,31/12/2020,Northern Bahr el Ghazal,Aweil East,Wunlang Phcu,PHCU,Moderate,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
